inst_1,inst_2,ipcc_code,year,source,comment
eu_ets,fin_tax,1A2C,2020,,
eu_ets,fin_tax,1A2D,2005,,
eu_ets,fin_tax,1A2D,2006,,
eu_ets,fin_tax,1A2D,2007,,
eu_ets,fin_tax,1A2D,2008,,
eu_ets,fin_tax,1A2D,2009,,
eu_ets,fin_tax,1A2D,2010,,
eu_ets,fin_tax,1A2D,2011,,
eu_ets,fin_tax,1A2D,2012,,
eu_ets,fin_tax,1A2D,2013,,
eu_ets,fin_tax,1A2D,2014,,
eu_ets,fin_tax,1A2D,2015,,
eu_ets,fin_tax,1A2D,2016,,
eu_ets,fin_tax,1A2D,2017,,
eu_ets,fin_tax,1A2D,2018,,
eu_ets,fin_tax,1A2D,2019,,
eu_ets,fin_tax,1A2D,2020,,
eu_ets,fin_tax,1A2E,2005,,
eu_ets,fin_tax,1A2E,2006,,
eu_ets,fin_tax,1A2E,2007,,
eu_ets,fin_tax,1A2E,2008,,
eu_ets,fin_tax,1A2E,2009,,
eu_ets,fin_tax,1A2E,2010,,
eu_ets,fin_tax,1A2E,2011,,
eu_ets,fin_tax,1A2E,2012,,
eu_ets,fin_tax,1A2E,2013,,
eu_ets,fin_tax,1A2E,2014,,
eu_ets,fin_tax,1A2E,2015,,
eu_ets,fin_tax,1A2E,2016,,
eu_ets,fin_tax,1A2E,2017,,
eu_ets,fin_tax,1A2E,2018,,
eu_ets,fin_tax,1A2E,2019,,
eu_ets,fin_tax,1A2E,2020,,
eu_ets,fin_tax,1A2F,2005,,
eu_ets,fin_tax,1A2F,2006,,
eu_ets,fin_tax,1A2F,2007,,
eu_ets,fin_tax,1A2F,2008,,
eu_ets,fin_tax,1A2F,2009,,
eu_ets,fin_tax,1A2F,2010,,
eu_ets,fin_tax,1A2F,2011,,
eu_ets,fin_tax,1A2F,2012,,
eu_ets,fin_tax,1A2F,2013,,
eu_ets,fin_tax,1A2F,2014,,
eu_ets,fin_tax,1A2F,2015,,
eu_ets,fin_tax,1A2F,2016,,
eu_ets,fin_tax,1A2F,2017,,
eu_ets,fin_tax,1A2F,2018,,
eu_ets,fin_tax,1A2F,2019,,
eu_ets,fin_tax,1A2F,2020,,
eu_ets,fin_tax,1A2G,2005,,
eu_ets,fin_tax,1A2G,2006,,
eu_ets,fin_tax,1A2G,2007,,
eu_ets,fin_tax,1A2G,2008,,
eu_ets,fin_tax,1A2G,2009,,
eu_ets,fin_tax,1A2G,2010,,
eu_ets,fin_tax,1A2G,2011,,
eu_ets,fin_tax,1A2G,2012,,
eu_ets,fin_tax,1A2G,2013,,
eu_ets,fin_tax,1A2G,2014,,
eu_ets,fin_tax,1A2G,2015,,
eu_ets,fin_tax,1A2G,2016,,
eu_ets,fin_tax,1A2G,2017,,
eu_ets,fin_tax,1A2G,2018,,
eu_ets,fin_tax,1A2G,2019,,
eu_ets,fin_tax,1A2G,2020,,
eu_ets,fin_tax,1A2H,2005,,
eu_ets,fin_tax,1A2H,2006,,
eu_ets,fin_tax,1A2H,2007,,
eu_ets,fin_tax,1A2H,2008,,
eu_ets,fin_tax,1A2H,2009,,
eu_ets,fin_tax,1A2H,2010,,
eu_ets,fin_tax,1A2H,2011,,
eu_ets,fin_tax,1A2H,2012,,
eu_ets,fin_tax,1A2H,2013,,
eu_ets,fin_tax,1A2H,2014,,
eu_ets,fin_tax,1A2H,2015,,
eu_ets,fin_tax,1A2H,2016,,
eu_ets,fin_tax,1A2H,2017,,
eu_ets,fin_tax,1A2H,2018,,
eu_ets,fin_tax,1A2H,2019,,
eu_ets,fin_tax,1A2H,2020,,
eu_ets,fin_tax,1A2I,2005,,
eu_ets,fin_tax,1A2I,2006,,
eu_ets,fin_tax,1A2I,2007,,
eu_ets,fin_tax,1A2I,2008,,
eu_ets,fin_tax,1A2I,2009,,
eu_ets,fin_tax,1A2I,2010,,
eu_ets,fin_tax,1A2I,2011,,
eu_ets,fin_tax,1A2I,2012,,
eu_ets,fin_tax,1A2I,2013,,
eu_ets,fin_tax,1A2I,2014,,
eu_ets,fin_tax,1A2I,2015,,
eu_ets,fin_tax,1A2I,2016,,
eu_ets,fin_tax,1A2I,2017,,
eu_ets,fin_tax,1A2I,2018,,
eu_ets,fin_tax,1A2I,2019,,
eu_ets,fin_tax,1A2I,2020,,
eu_ets,fin_tax,1A2J,2005,,
eu_ets,fin_tax,1A2J,2006,,
eu_ets,fin_tax,1A2J,2007,,
eu_ets,fin_tax,1A2J,2008,,
eu_ets,fin_tax,1A2J,2009,,
eu_ets,fin_tax,1A2J,2010,,
eu_ets,fin_tax,1A2J,2011,,
eu_ets,fin_tax,1A2J,2012,,
eu_ets,fin_tax,1A2J,2013,,
eu_ets,fin_tax,1A2J,2014,,
eu_ets,fin_tax,1A2J,2015,,
eu_ets,fin_tax,1A2J,2016,,
eu_ets,fin_tax,1A2J,2017,,
eu_ets,fin_tax,1A2J,2018,,
eu_ets,fin_tax,1A2J,2019,,
eu_ets,fin_tax,1A2J,2020,,
eu_ets,fin_tax,1A2K,2005,,
eu_ets,fin_tax,1A2K,2006,,
eu_ets,fin_tax,1A2K,2007,,
eu_ets,fin_tax,1A2K,2008,,
eu_ets,fin_tax,1A2K,2009,,
eu_ets,fin_tax,1A2K,2010,,
eu_ets,fin_tax,1A2K,2011,,
eu_ets,fin_tax,1A2K,2012,,
eu_ets,fin_tax,1A2K,2013,,
eu_ets,fin_tax,1A2K,2014,,
eu_ets,fin_tax,1A2K,2015,,
eu_ets,fin_tax,1A2K,2016,,
eu_ets,fin_tax,1A2K,2017,,
eu_ets,fin_tax,1A2K,2018,,
eu_ets,fin_tax,1A2K,2019,,
