jurisdiction,year,ipcc_code,Product
,1991,1A4B,Coal
,1991,1A4B,Natural gas
,1991,1A4B,Oil
,1991,1A4C,Coal
,1991,1A4C,Natural gas
,1991,1A4C,Oil
,1991,1A4C1,Coal
,1991,1A4C1,Natural gas
,1991,1A4C1,Oil
,1991,1A4C2,Coal
,1991,1A4C2,Natural gas
,1991,1A4C2,Oil
,1991,1A4C3,Coal
,1991,1A4C3,Natural gas
,1991,1A4C3,Oil
,1991,1A5,Coal
,1991,1A5,Natural gas
,1991,1A5,Oil
,1991,1A5A,Coal
,1991,1A5A,Natural gas
,1991,1A5A,Oil
,1991,1A5B,Coal
,1991,1A5B,Natural gas
,1991,1A5B,Oil
,1991,1A5C,Coal
,1991,1A5C,Natural gas
,1991,1A5C,Oil
,1991,1B,
,1991,1B1,
,1991,1B1A,
,1991,1B1A1,
,1991,1B1A11,
,1991,1B1A12,
,1991,1B1A13,
,1991,1B1A14,
,1991,1B1A2,
,1991,1B1A21,
,1991,1B1A22,
,1991,1B1B,
,1991,1B2,
,1991,1B2A,
,1991,1B2A1,
,1991,1B2A2,
,1991,1B2A3,
,1991,1B2A31,
,1991,1B2A32,
,1991,1B2A33,
,1991,1B2A34,
,1991,1B2A35,
,1991,1B2A36,
,1991,1B2B,
,1991,1B2B1,
,1991,1B2B2,
,1991,1B2B3,
,1991,1B2B31,
,1991,1B2B32,
,1991,1B2B33,
,1991,1B2B34,
,1991,1B2B35,
,1991,1B2B36,
,1991,1B3,
,1991,1C,
,1991,1C1,
,1991,1C1A,
,1991,1C1B,
,1991,1C1C,
,1991,1C2,
,1991,1C2A,
,1991,1C2B,
,1991,1C3,
,1991,2A,
,1991,2A1,
,1991,2A2,
,1991,2A3,
,1991,2A4,
,1991,2A4A,
,1991,2A4B,
,1991,2A4C,
,1991,2A4D,
,1991,2B,
,1991,2B1,
,1991,2B10,
,1991,2B2,
,1991,2B3,
,1991,2B4,
,1991,2B5,
,1991,2B6,
,1991,2B7,
,1991,2B8,
,1991,2B8A,
,1991,2B8B,
,1991,2B8C,
,1991,2B8D,
,1991,2B8E,
,1991,2B8F,
,1991,2B9,
,1991,2B9A,
,1991,2B9B,
,1991,2C,
,1991,2C1,
,1991,2C2,
,1991,2C3,
,1991,2C4,
,1991,2C5,
,1991,2C6,
,1991,2C7,
,1991,2D,
,1991,2D1,
,1991,2D2,
,1991,2D3,
,1991,2D4,
,1991,2E,
,1991,2E1,
,1991,2E2,
,1991,2E3,
,1991,2E4,
,1991,2E5,
,1991,2F,
,1991,2F1,
,1991,2F2,
,1991,2F3,
,1991,2F4,
,1991,2F5,
,1991,2F6,
,1991,2G,
,1991,2G1,
,1991,2G2,
,1991,2G3,
,1991,2G4,
,1991,2H,
,1991,2H1,
,1991,2H2,
,1991,2H3,
,1991,3A,
,1991,3A1,
,1991,3A2,
,1991,3B,
,1991,3B1,
,1991,3B1A,
,1991,3B1B,
,1991,3B2,
,1991,3B2A,
,1991,3B2B,
,1991,3B3,
,1991,3B3A,
,1991,3B3B,
,1991,3B4,
,1991,3B4A,
,1991,3B4B,
,1991,3B5,
,1991,3B5A,
,1991,3B5B,
,1991,3B6,
,1991,3B6A,
,1991,3B6B,
,1991,3B6B1,
,1991,3B6B2,
,1991,3B6B3,
,1991,3B6B4,
,1991,3B6B5,
,1991,3C,
,1991,3C1,
,1991,3C2,
,1991,3C3,
,1991,3C4,
,1991,3C5,
,1991,3C6,
,1991,3C7,
,1991,3C8,
,1991,3D,
,1991,3D1,
,1991,3D2,
,1991,4A,
,1991,4A1,
,1991,4A2,
,1991,4A3,
,1991,4B,
,1991,4C,
,1991,4C1,
,1991,4C2,
,1991,4D,
,1991,4D1,
,1991,4D2,
,1991,4E,
,1991,5A,
,1991,5A1,
,1991,5A2,
,1992,0,
,1992,1,
,1992,2,
,1992,3,
,1992,4,
,1992,5,
,1992,1A,Coal
,1992,1A,Natural gas
,1992,1A,Oil
,1992,1A1,Coal
,1992,1A1,Natural gas
,1992,1A1,Oil
,1992,1A1A,Coal
,1992,1A1A,Natural gas
,1992,1A1A,Oil
,1992,1A1A1,Coal
,1992,1A1A1,Natural gas
,1992,1A1A1,Oil
,1992,1A1A2,Coal
,1992,1A1A2,Natural gas
,1992,1A1A2,Oil
,1992,1A1A3,Coal
,1992,1A1A3,Natural gas
,1992,1A1A3,Oil
,1992,1A1B,Coal
,1992,1A1B,Natural gas
,1992,1A1B,Oil
,1992,1A1C,Coal
,1992,1A1C,Natural gas
,1992,1A1C,Oil
,1992,1A2,Coal
,1992,1A2,Natural gas
,1992,1A2,Oil
,1992,1A2A,Coal
,1992,1A2A,Natural gas
,1992,1A2A,Oil
,1992,1A2B,Coal
,1992,1A2B,Natural gas
,1992,1A2B,Oil
,1992,1A2C,Coal
,1992,1A2C,Natural gas
,1992,1A2C,Oil
,1992,1A2D,Coal
,1992,1A2D,Natural gas
,1992,1A2D,Oil
,1992,1A2E,Coal
,1992,1A2E,Natural gas
,1992,1A2E,Oil
,1992,1A2F,Coal
,1992,1A2F,Natural gas
,1992,1A2F,Oil
,1992,1A2G,Coal
,1992,1A2G,Natural gas
,1992,1A2G,Oil
,1992,1A2H,Coal
,1992,1A2H,Natural gas
,1992,1A2H,Oil
,1992,1A2I,Coal
,1992,1A2I,Natural gas
,1992,1A2I,Oil
,1992,1A2J,Coal
,1992,1A2J,Natural gas
,1992,1A2J,Oil
,1992,1A2K,Coal
,1992,1A2K,Natural gas
,1992,1A2K,Oil
,1992,1A2L,Coal
,1992,1A2L,Natural gas
,1992,1A2L,Oil
,1992,1A2M,Coal
,1992,1A2M,Natural gas
,1992,1A2M,Oil
,1992,1A3,Coal
,1992,1A3,Natural gas
,1992,1A3,Oil
,1992,1A3A,Coal
,1992,1A3A,Natural gas
,1992,1A3A,Oil
,1992,1A3A1,Coal
,1992,1A3A1,Natural gas
,1992,1A3A1,Oil
,1992,1A3A2,Coal
,1992,1A3A2,Natural gas
,1992,1A3A2,Oil
,1992,1A3B,Coal
,1992,1A3B,Natural gas
,1992,1A3B,Oil
,1992,1A3C,Coal
,1992,1A3C,Natural gas
,1992,1A3C,Oil
,1992,1A3D,Coal
,1992,1A3D,Natural gas
,1992,1A3D,Oil
,1992,1A3D1,Coal
,1992,1A3D1,Natural gas
,1992,1A3D1,Oil
,1992,1A3D2,Coal
,1992,1A3D2,Natural gas
,1992,1A3D2,Oil
,1992,1A3E,Coal
,1992,1A3E,Natural gas
,1992,1A3E,Oil
,1992,1A3E1,Coal
,1992,1A3E1,Natural gas
,1992,1A3E1,Oil
,1992,1A4,Coal
,1992,1A4,Natural gas
,1992,1A4,Oil
,1992,1A4A,Coal
,1992,1A4A,Natural gas
,1992,1A4A,Oil
,1992,1A4B,Coal
,1992,1A4B,Natural gas
,1992,1A4B,Oil
,1992,1A4C,Coal
,1992,1A4C,Natural gas
,1992,1A4C,Oil
,1992,1A4C1,Coal
,1992,1A4C1,Natural gas
,1992,1A4C1,Oil
,1992,1A4C2,Coal
,1992,1A4C2,Natural gas
,1992,1A4C2,Oil
,1992,1A4C3,Coal
,1992,1A4C3,Natural gas
,1992,1A4C3,Oil
,1992,1A5,Coal
,1992,1A5,Natural gas
,1992,1A5,Oil
,1992,1A5A,Coal
,1992,1A5A,Natural gas
,1992,1A5A,Oil
,1992,1A5B,Coal
,1992,1A5B,Natural gas
,1992,1A5B,Oil
,1992,1A5C,Coal
,1992,1A5C,Natural gas
,1992,1A5C,Oil
,1992,1B,
,1992,1B1,
,1992,1B1A,
,1992,1B1A1,
,1992,1B1A11,
,1992,1B1A12,
,1992,1B1A13,
,1992,1B1A14,
,1992,1B1A2,
,1992,1B1A21,
,1992,1B1A22,
,1992,1B1B,
,1992,1B2,
,1992,1B2A,
,1992,1B2A1,
,1992,1B2A2,
,1992,1B2A3,
,1992,1B2A31,
,1992,1B2A32,
,1992,1B2A33,
,1992,1B2A34,
,1992,1B2A35,
,1992,1B2A36,
,1992,1B2B,
,1992,1B2B1,
,1992,1B2B2,
,1992,1B2B3,
,1992,1B2B31,
,1992,1B2B32,
,1992,1B2B33,
,1992,1B2B34,
,1992,1B2B35,
,1992,1B2B36,
,1992,1B3,
,1992,1C,
,1992,1C1,
,1992,1C1A,
,1992,1C1B,
,1992,1C1C,
,1992,1C2,
,1992,1C2A,
,1992,1C2B,
,1992,1C3,
,1992,2A,
,1992,2A1,
,1992,2A2,
,1992,2A3,
,1992,2A4,
,1992,2A4A,
,1992,2A4B,
,1992,2A4C,
,1992,2A4D,
,1992,2B,
,1992,2B1,
,1992,2B10,
,1992,2B2,
,1992,2B3,
,1992,2B4,
,1992,2B5,
,1992,2B6,
,1992,2B7,
,1992,2B8,
,1992,2B8A,
,1992,2B8B,
,1992,2B8C,
,1992,2B8D,
,1992,2B8E,
,1992,2B8F,
,1992,2B9,
,1992,2B9A,
,1992,2B9B,
,1992,2C,
,1992,2C1,
,1992,2C2,
,1992,2C3,
,1992,2C4,
,1992,2C5,
,1992,2C6,
,1992,2C7,
,1992,2D,
,1992,2D1,
,1992,2D2,
,1992,2D3,
,1992,2D4,
,1992,2E,
,1992,2E1,
,1992,2E2,
,1992,2E3,
,1992,2E4,
,1992,2E5,
,1992,2F,
,1992,2F1,
,1992,2F2,
,1992,2F3,
,1992,2F4,
,1992,2F5,
,1992,2F6,
,1992,2G,
,1992,2G1,
,1992,2G2,
,1992,2G3,
,1992,2G4,
,1992,2H,
,1992,2H1,
,1992,2H2,
,1992,2H3,
,1992,3A,
,1992,3A1,
,1992,3A2,
,1992,3B,
,1992,3B1,
,1992,3B1A,
,1992,3B1B,
,1992,3B2,
,1992,3B2A,
,1992,3B2B,
,1992,3B3,
,1992,3B3A,
,1992,3B3B,
,1992,3B4,
,1992,3B4A,
,1992,3B4B,
,1992,3B5,
,1992,3B5A,
,1992,3B5B,
,1992,3B6,
,1992,3B6A,
,1992,3B6B,
,1992,3B6B1,
,1992,3B6B2,
,1992,3B6B3,
,1992,3B6B4,
,1992,3B6B5,
,1992,3C,
,1992,3C1,
,1992,3C2,
,1992,3C3,
,1992,3C4,
,1992,3C5,
,1992,3C6,
,1992,3C7,
,1992,3C8,
,1992,3D,
,1992,3D1,
,1992,3D2,
,1992,4A,
,1992,4A1,
,1992,4A2,
,1992,4A3,
,1992,4B,
,1992,4C,
,1992,4C1,
,1992,4C2,
,1992,4D,
,1992,4D1,
,1992,4D2,
,1992,4E,
,1992,5A,
,1992,5A1,
,1992,5A2,
,1993,0,
,1993,1,
,1993,2,
,1993,3,
,1993,4,
,1993,5,
,1993,1A,Coal
,1993,1A,Natural gas
,1993,1A,Oil
,1993,1A1,Coal
,1993,1A1,Natural gas
,1993,1A1,Oil
,1993,1A1A,Coal
,1993,1A1A,Natural gas
,1993,1A1A,Oil
,1993,1A1A1,Coal
,1993,1A1A1,Natural gas
,1993,1A1A1,Oil
,1993,1A1A2,Coal
,1993,1A1A2,Natural gas
,1993,1A1A2,Oil
,1993,1A1A3,Coal
,1993,1A1A3,Natural gas
,1993,1A1A3,Oil
,1993,1A1B,Coal
,1993,1A1B,Natural gas
,1993,1A1B,Oil
,1993,1A1C,Coal
,1993,1A1C,Natural gas
,1993,1A1C,Oil
,1993,1A2,Coal
,1993,1A2,Natural gas
,1993,1A2,Oil
